"","K","P","C","O","Fa","G","S","C7D_1_B","C7D_2_T","C7D_2_B","C7D_3_B","C7D_4_B","C7D_5_T","C8D_1_T","C8D_2_B","C8D_2_T","A4D_1_B","A4D_1_T","A4D_2_B","A4D_2_T","A4D_3_B","A4D_3_T","A4D_4_B","A4D_4_T","A4D_5_B","A4D_5_T","A4L_1_NA","A4L_3_NA","A4L_5_NA","A4S_NA_NA","A5D_1_T","A5D_2_T","A5D_3_T","A5D_4_B","A5D_4_T","A5D_5_B","A5D_5_T","A5L_2_NA","A5L_3_NA","A5L_4_NA","A5L_5_NA","A5S_NA_NA","A2D_1_B","A2D_1_T","A2D_2_B","A2D_3_B","A2D_3_T","A2D_4_B","A2D_4_T","A2D_5_B","A2D_5_T","A2L_1_NA","A2L_2_NA","A2L_3_NA","A2L_4_NA","A2L_5_NA","A2S_NA_NA","C4D_1_B","C4D_1_T","C4D_2_B","C4D_2_T","C4D_3_B","C4D_3_T","C4D_4_B","C4D_4_T","C4D_5_B","C4D_5_T","C4L_1_NA","C4L_2_NA","C4L_4_NA","C4S_NA_NA","A6D_1_B","A6D_1_T","A6D_2_B","A6D_2_T","A6D_3_B","A6D_3_T","A6D_4_B","A6D_4_T","A6D_5_B","A6D_5_T","A6L_1_NA","A6L_2_NA","A6L_5_NA","A6S_NA_NA","C5D_1_B","C5D_1_T","C5D_2_B","C5D_2_T","C5D_3_B","C5D_4_B","C5D_4_T","C5D_5_B","C5L_3_NA","C5L_4_NA","C5L_5_NA","C5S_NA_NA","GOD_5_B","GOD_5_T","GOL_1_NA","GOL_2_NA","GOL_3_NA","GOL_4_NA","GOL_5_NA","GOS_NA_NA","GMD_1_B","GMD_1_T","GMD_2_B","GMD_4_B","GMD_4_T","GMD_5_B","GMD_5_T","GML_1_NA","GML_3_NA","GML_4_NA","GML_5_NA","GMS_NA_NA","ROD_1_B","ROD_1_T","ROD_2_B","ROD_3_B","ROD_4_B","ROD_4_T","ROD_5_B","ROD_5_T","ROL_2_NA","ROL_4_NA","ROL_5_NA","RMD_2_B","RMD_2_T","RMD_3_B","RMD_4_B","RMD_4_T","RMD_5_B","RMD_5_T","RML_1_NA","RML_2_NA","RML_3_NA","RML_5_NA","C7D_5_B","C8D_1_B","A4L_2_NA","A4L_4_NA","A5D_1_B","A5L_1_NA","C4L_3_NA","C4L_5_NA","A6L_3_NA","A6L_4_NA","C5D_3_T","C5L_1_NA","C5D_5_T"
"109","Fungi","Ascomycota","Coniocybomycetes","Coniocybales","Coniocybaceae","Chaenotricha","Chaenotricha_cilians","0","1","1","0","13","0","0","1","0","20","1","7","0","0","0","1","24","0","1","32","0","0","4","0","57","0","403","146","3","0","0","0","0","0","0","0","0","0","0","5","1","6","0","0","13","0","0","0","1","3","0","0","1","1","122","1","0","4","24","0","3","0","0","0","0","0","0","0","0","253","0","0","0","9","2","0","0","0","1","0","0","0","3","6","0","11","27","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","781","0","0","0","0","0","0","0","0","0"
"110","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_acetabuli","0","0","0","0","0","0","0","0","6","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","26","1","15","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","120","0","0","1","0","0","0","0","0","10","0","0","0","0","0","0","21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"112","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_boomii","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","33","1","0","0","0","0","3","0","0","0","0","0","0","0","0","177","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","2","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"114","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_caerulescens","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","39","0","0","0"
"117","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_cladoniae","0","0","0","6","0","0","0","0","0","0","0","4","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","48","2","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_eriodermae","0","0","0","7","0","0","0","0","1","8","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","0","0","0","0","17","0","0","0","1","0","0","0","0","7","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","24","1","1","0","0","0","0","0","33","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","169","6","0","0","0","7","12","49","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0","0","0","6","0","0","0","0","4","0","0","0","0","0"
"119","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_ertzii","1","0","3","3","16","0","1","1","1","1","318","15","0","10","299","24","284","0","2","1","0","0","0","0","0","10","0","0","505","3","1158","1","0","28","7","0","22","0","288","0","28","1","0","16","5","590","1","0","0","1","0","18","228","0","0","1697","20","0","0","0","0","0","0","0","0","0","0","9","0","0","1","24","12","1","1042","2","1","0","0","0","4931","1322","28","149","0","242","0","13","0","0","25","0","17","26","0","0","0","2","2","0","0","0","1","25","1","0","0","0","0","2","1","6","0","0","0","0","5","0","0","0","0","0","0","0","0","2","1","661","1","0","1","0","0","0","0","1","16","13","0","0","0","4","0","0","0"
"120","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_granulatae","0","0","21","0","0","0","0","0","0","0","62","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","24","6","37","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","19","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_nephromatis","0","13","0","0","0","3","0","0","0","1","1","3","0","4","0","0","0","100","5","0","1","0","0","3","12","4","0","0","1","0","0","0","0","5","0","0","10","0","0","3","1","1","0","1","0","21","4","0","1","0","1","6","0","0","0","0","0","0","6","3","0","0","1","1","0","0","0","0","0","61","0","0","2","5","18","62","0","1","0","0","5","7","0","1","0","0","0","14","0","0","4","8","0","0","0","0","2","1","1","7","0","0","1","2","206","0","0","0","83","1","279","1","0","0","1","5","2","0","0","0","0","0","0","0","0","0","0","1","9","1","0","0","1","19","1","0","2","36","0","0","4","1533","0","0","0"
"124","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_parmeliarum","0","0","11","7","0","0","2","0","17","16","2","1","0","1","0","0","0","0","0","1","0","1","0","0","0","80","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","3","0","1","0","9","0","0","0","0","5","2","1","88","5","2","0","0","52","2","1","0","0","0","0","0","11","0","61","0","1","0","0","0","0","0","196","0","0","0","0","1","5","0","0","0","0","0","0","1","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","36","3","1","0","0","3","0","0","0","5","0","0","0","2","0","0","11"
"126","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_peyritschii","0","0","0","0","0","0","0","0","14","2","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","343","5","0","0","0","0","2","0","0","0","0","0","1","0","0","6","1","1","0","3","0","0","0","658","0","0","0","0","1","0","0","0","0","18","11","0","0","0","0","1","0","0","13","0","0","1","4","1","0","2","0","0","0","34","0","0","0","0","0","2","0","2","14","0","0","0","0","0","0","0","2","0","3","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","68","1","1","0","24","0","0","0","0","2","0","0","0","0","0","2","0","1","0"
"127","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_prodiens","4","5","1055","4565","1","363","1","2","11865","1","971","3","16","2","87","1","1","1","2569","1","1","1","263","1","16","4667","3","1","37","1","1","1","1","3","1","3","1","19","1","11","2","2","1","1","1091","1","2","232","2651","18","25","1","30","1","2","23","2","1","1","333","1","1","3","1","2","26","1","1","28","474","24","4","1","1","1","5","1","37","3","1","1","1","2","1","4","28","431","3","1800","35","1","1","1","1","0","0","28","6","20","2","1","1","1","2","3","1","0","1","2","1","10253","2","2","1","1","4","1","0","2","0","0","0","0","1","0","1","1","4836","6","1","7","0","1","43","2","1","3","6","1","2","2","30","0","25","1"
"131","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_secedens","0","4","43","1","0","5","7","0","1","5","191","1","0","2","0","0","0","0","0","0","1","0","0","0","1","23","0","0","1","1","322","0","105","1","0","0","1","13","1","0","0","0","0","0","0","41","1","0","4","1","0","0","0","0","0","0","6","0","0","8","0","2","0","1","1","0","1","56","0","0","4","3","1","2","7","17","0","0","0","0","2","79","2","3","0","0","0","2","0","0","0","0","117","0","0","0","1","230","9","0","0","0","1","35","1","0","0","0","2","3","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","4","50","1","24","0","0","0","5","0","0","0"
"132","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_sp","1","21","2","1","2","1","7","2","29","1","45","15006","1","3472","1","4","29","5","0","0","9","1","0","0","1","1","1","15","1","33","24","10","5","1","0","478","2","1","1","2","1","1","0","1","95","1","2","19","180","2","1","2","1","22","11","2","16","1","1","1","53","1","563","11","8","0","1","999","1","47","1","1","7626","29","3","1852","2","2","540","1","1202","50","2","5","1","1","24","1970","1","1","2","1","1","1","0","0","2","1","23","2","0","1","4","1","1","1","2","0","3","3","3","0","0","0","2","2","11","1","0","3","1","0","2","1","0","2","2","166","4","4","4","0","2","83","46","11","11","5","0","23","1","5","0","2","1"
"133","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_subhalei","0","0","1","17","3","1","0","2","1","0","2","4","1","1","1","0","0","23","24","6","145","0","5","0","13","37","0","0","0","1","56","0","0","1","3","2","17","1","0","5","0","4","0","1","1","1","0","2","0","1","1","0","6","0","0","0","6","0","0","12","0","0","3","0","0","0","0","3","2","0","3","0","7","37","43","0","1","3","3","0","9","1","4","5","18","0","1","5","94","4","9","0","1","2","0","0","2","2","1","0","0","0","16","2","1","0","0","0","0","1","12","5","15","0","17","0","52","0","0","0","0","0","0","0","1","1","0","13","1","0","1","0","0","0","0","0","0","3","0","0","0","23","0","0","0"
"134","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_suecicus","0","0","1","6","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","35","0","0","0","0","4","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"137","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus","Abrothallus_welwitschii","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"138","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Lichenoconiaceae","Lichenoconium","Lichenoconium_aeruginosum","0","0","0","0","0","0","0","0","0","0","10","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","1","0","0","1","0","0","39","0","0","0","0","3","0","0","96","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","370","0","0","0","0","0","0","0","1","0","0","6","6","1","0","0","0","0","0","1","6","17","4","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","7","41","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"139","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Lichenoconiaceae","Lichenoconium","Lichenoconium_erodens","138","2","2","3","3","47","1","11","2","2","558","1","10","2","12","1","1","4","1","1","1","1","22","29","2","349","18","1","1","3","1","2","1","7","496","42","3","1","26","4832","2","7","1","1","1","29","2","6","3","1","1","1","2","1","2","1","1","2","1","30","1","14","1","1","1","2","1","6","10","1","1","1","1","618","321","1","16","2","38","15","1","1","1","1","235","1","1","1","1","1","13","5","1","1","14","1","2","3","1","31","1","2","1659","1","141","1","20","1","1","1","4","2","2","1","352","13","4","11","15","1","12","1","3","1","4","1","303","5","4","2","23","14","2","1","3","34","4","1","1","1","49","2","14","1","8"
"140","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Lichenoconiaceae","Lichenoconium","Lichenoconium_sp","2","1","11","1","27","1","0","1","1","1","11","1","1","1","0","1","1","0","17","1","5","5","1","1","1","2","1","0","1","1","1","1","2","1","1","1","3","0","1","22","0","0","6","1","1","1","13","3","1","13","1","1","0","1","183","1","3","7","10","1","1","1","0","2","0","0","11","1","0","18","11","9","3","18","1","28","4","16","1","3","1","3","8","2","22","12","1","1","1","1","1","0","10","8","0","0","3","1","1","0","0","1","41","349","4","5","0","0","10","1","1","9","0","0","296","1","6","1","0","0","0","0","0","2","0","1","1","1784","2","1","11","0","0","22","2","1","9","41","2","1","1","1","5","0","9"
"141","Fungi","Ascomycota","Dothideomycetes","Abrothallales","Lichenoconiaceae","Lichenoconium","Lichenoconium_usneae","0","0","29","3","1","1","16","0","73","1","1","4","0","14","1","1","12","16","0","0","3","0","1","0","1","337","3","2","4","61","1","0","1","0","2","1","1","1","1","22","3","1","5","1","1","2","11","1","28","0","1","21","15","3","1","7","1","0","1","0","0","7","93","0","12","4","136","0","2","1","1","1","1","3","1","1","0","4","1","0","1","1","9","3","2","3","2","1","1","7","0","0","1","7","0","0","50","3","1","0","0","1","2","1","1","0","0","0","131","86","9","0","0","0","87","4","5","0","2","0","0","0","0","0","0","0","2","599","3","1","8","0","0","6","0","1","33","6","0","0","35","2","0","0","0"
"147","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeria","Botryosphaeria_sp","0","0","715","0","0","0","0","0","0","6","1","4","0","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","1","0","0","327","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106","3","0","0","0","0","5","1","366","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","3","9","2","0","0","0","0","1","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","19","273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"148","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeria","Botryosphaeria_stevensii","25","2","1","1","5","1","3","4","6","1","4113","1","1","1","7","12","1","1","1","0","1","4","1","1","8","9","1","2","1","0","1","0","115","1","12","8","0","16","1","1","1","5","1","10","1","1","1","1","1","1","1","12","5","1","1","1","1","2","1","1","0","4","24","0","1","7","365","1","2","1","0","1","0","4","1","2","1","2","1","241","4","20","49","1","4","1","1","1","33","8","0","1","2","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","2","4","0","0"
"158","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Diplodia","Diplodia_seriata","0","47","2","1","0","0","0","0","1","0","0","3","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"159","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Diplodia","Diplodia_sp","0","0","0","0","0","0","0","0","9","0","0","2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","556","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"162","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Dothiorella","Dothiorella_sp","259","31","1","1","2","16","138","2","13","1","1","395","148","365","2","1","1","138","2","1","139","120","1","10","1","3","4","5","1","1","46","144","1","2","1","3","8","1","1","6","8","1","181","1","1","4","4","148","15","7","14","3","4","11","1","1","124","112","1","11","2","1","1","142","175","177","1","1","1","2","1","1","507","6733","1","2","211","2","2","2","1","3","4","3","1","151","8","1","1","19","2","91","1","2","13","16","3","1106","2","1","35","52","2","522","1","46","3","1","89","913","3","1","4","10","1","2616","1","2","1","14","2","513","159","8","1","78","1","5","9","3","7","1","41","36","2","722","5","5","1","2","1","2","1","1","6"
"169","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Lasiodiplodia","Lasiodiplodia_theobromae","0","51","35","1","0","1","0","0","1","1","4","13","0","2","7","2","0","0","1","0","0","0","0","0","0","125","0","24","10","0","0","0","0","0","47","0","0","0","0","4","10","0","0","0","18","2","37","0","13","0","0","1","0","0","0","1","0","0","0","33","4","0","0","0","3","2","4","18","0","0","0","0","2","3","4","2","0","0","1","1","1","0","0","3","1","0","100","1","0","0","0","0","0","1","0","0","0","1","6","0","0","0","2","0","0","1","0","0","2","1","1","4","0","0","0","6","1","0","0","0","0","0","0","0","0","0","1","0","1","4","0","0","1","1","1","51","9","0","0","0","0","0","0","4","20"
"171","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Macrophomina","Macrophomina_phaseolina","1","1","11","172","0","0","0","131","1","0","1","7","0","0","0","151","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","146","1","0","0","4","0","0","0","0","2","0","0","0","0","0","0","0","181","0","0","0","2","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","20","1","7","0","0","0","3","0","3","3","0","1","1","1","2","1","1","0","0","0","0","0","0","0","0","97","1","2","0","0","0","0","0","0","53","0","0","0","0","0","0","0","1"
